,Category,Description,Data.Carbohydrate,Data.Cholesterol,Data.Fiber,Data.Protein,Data.Sugar Total,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,Dietary category,Data.Carbohydratehighorlow,Data.Cholesterolhighorlow,Data.Fiberhighorlow,Data.Proteinhighorlow,Data.Sugar Totalhighorlow,Data.Waterhighorlow,Data.Fat.Monosaturated Fathighorlow,Data.Fat.Polysaturated Fathighorlow,Data.Fat.Saturated Fathighorlow,Data.Fat.Total Lipidhighorlow,Data.Major Minerals.Calciumhighorlow,Data.Major Minerals.Copperhighorlow,Data.Major Minerals.Ironhighorlow,Data.Major Minerals.Magnesiumhighorlow,Data.Major Minerals.Phosphorushighorlow,Data.Major Minerals.Potassiumhighorlow,Data.Major Minerals.Sodiumhighorlow,Data.Major Minerals.Zinchighorlow,Data.Vitamins.Vitamin A - RAEhighorlow,Data.Vitamins.Vitamin B12highorlow,Data.Vitamins.Vitamin B6highorlow,Data.Vitamins.Vitamin Chighorlow,Data.Vitamins.Vitamin Ehighorlow,Data.Vitamins.Vitamin Khighorlow
14,Milk,"Milk, lactose free, reduced fat (2%)",4.91,8,0.0,3.35,4.89,89.1,0.4,0.058,1.11,1.9,126,0.001,0.0,12,103,159,39,0.43,83,0.55,0.061,0.2,0.03,0.2,Vegetarian,low,low,low,low,medium,high,low,low,low,low,high,low,low,low,medium,medium,low,low,medium,medium,low,low,low,low
15,Milk,"Milk, lactose free, whole",4.67,12,0.0,3.28,4.81,88.1,0.688,0.108,1.86,3.2,123,0.001,0.0,12,101,150,38,0.41,32,0.54,0.061,0.0,0.05,0.3,Vegetarian,low,low,low,low,medium,high,low,low,medium,low,high,low,low,low,medium,medium,low,low,low,medium,low,low,low,low
16,Buttermilk,"Buttermilk, fat free (skim)",4.79,4,0.0,3.31,4.79,90.13,0.254,0.033,0.66,1.07,116,0.011,0.05,11,89,151,148,0.42,14,0.22,0.034,1.0,0.05,0.1,Vegetarian,low,low,low,low,medium,high,low,low,low,low,high,low,low,low,medium,medium,low,low,low,low,low,low,low,low
17,Buttermilk,"Buttermilk, low fat (1%)",4.79,4,0.0,3.31,4.79,90.13,0.254,0.033,0.66,1.07,116,0.011,0.05,11,89,151,148,0.42,14,0.22,0.034,1.0,0.05,0.1,Vegetarian,low,low,low,low,medium,high,low,low,low,low,high,low,low,low,medium,medium,low,low,low,low,low,low,low,low
18,Buttermilk,"Buttermilk, reduced fat (2%)",5.3,8,0.0,4.1,5.3,87.7,0.576,0.071,1.242,2.0,143,0.008,0.06,13,82,180,105,0.24,16,0.37,0.03,1.5,0.11,0.1,Vegetarian,low,low,low,low,medium,high,low,low,low,low,high,low,low,low,medium,medium,low,low,low,low,low,low,low,low
19,Buttermilk,"Buttermilk, whole",4.88,11,0.0,3.21,4.88,87.91,0.827,0.198,1.899,3.31,115,0.025,0.03,10,85,135,105,0.38,47,0.46,0.036,0.0,0.07,0.3,Vegetarian,low,low,low,low,medium,high,low,low,medium,low,high,low,low,low,medium,medium,low,low,medium,medium,low,low,low,low
20,Kefir,"Kefir, NS as to fat content",7.48,5,0.0,3.59,6.91,87.26,0.286,0.047,0.596,0.96,124,0.009,0.04,12,100,159,38,0.45,174,0.3,0.059,0.8,0.04,0.6,Vegetarian,low,low,low,low,medium,high,low,low,low,low,high,low,low,low,medium,medium,low,low,high,low,low,low,low,low
21,Goat's milk,"Goat's milk, whole",4.45,11,0.0,3.56,4.45,87.03,1.109,0.149,2.667,4.14,134,0.046,0.05,14,111,204,50,0.3,57,0.07,0.046,1.3,0.07,0.3,Non-Vegetarian,low,low,low,low,medium,high,low,low,medium,low,high,low,low,low,medium,medium,low,low,medium,low,low,low,low,low
22,Milk,"Milk, dry, reconstituted, NS as to fat content",4.6,2,0.0,3.2,4.6,91.34,0.018,0.003,0.044,0.07,114,0.013,0.03,11,86,159,51,0.37,58,0.36,0.032,0.6,0.0,0.0,Vegetarian,low,low,low,low,medium,high,low,low,low,low,high,low,low,low,medium,medium,low,low,medium,low,low,low,low,low
23,Milk,"Milk, dry, reconstituted, whole",5.86,15,0.0,4.01,5.86,85.04,1.209,0.101,2.554,4.08,142,0.021,0.07,14,118,203,60,0.52,39,0.5,0.046,1.3,0.09,0.3,Vegetarian,low,low,low,low,medium,high,low,low,medium,low,high,low,low,low,medium,medium,low,low,low,medium,low,low,low,low
